time,LP1,LP2,LP3,LP4,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,temp
2,4066,4054,4066,4066,0,0,-63,-50,-8,-63,-1
31,4065,4055,4064,4066,-63,0,-63,-50,-8,-63,-1
36,4065,4055,4066,4066,0,0,-63,-50,-8,-63,-1
41,4065,4055,4065,4066,0,-63,0,-50,-8,-63,-1
46,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
51,4065,4055,4065,4066,0,-63,0,-50,-8,-63,-1
56,4065,4055,4064,4066,0,-63,0,-50,-8,-63,-1
60,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
65,4066,4054,4065,4066,-63,0,0,-50,-8,-63,-1
70,4066,4055,4066,4066,0,0,-63,-50,-8,-63,-1
76,4065,4054,4066,4066,-63,0,-63,-50,-8,-63,-1
80,4065,4054,4066,4065,-63,0,-63,-50,-8,-63,-1
85,4066,4055,4065,4066,0,-63,0,-50,-8,-63,-1
90,4066,4055,4065,4066,0,-63,0,-50,-8,-63,-1
95,4065,4054,4065,4065,0,-63,0,-50,-8,-63,-1
100,4065,4054,4065,4065,0,-63,0,-50,-8,-63,-1
105,4066,4054,4065,4067,0,0,0,-50,-8,-62,-1
111,4065,4055,4066,4067,-63,0,0,-50,-7,-63,-1
116,4066,4054,4065,4066,-63,0,-63,-50,-8,-63,-1
120,4066,4055,4065,4066,-63,0,-63,-50,-8,-63,-1
126,4066,4054,4066,4066,-63,0,-63,-50,-8,-63,-1
131,4065,4054,4066,4066,0,0,0,-50,-8,-63,-1
136,4065,4054,4065,4066,0,-63,0,-50,-8,-63,-1
141,4065,4054,4064,4066,0,-63,0,-50,-8,-63,-1
146,4064,4055,4065,4066,0,-63,0,-50,-8,-63,-1
151,4066,4054,4065,4065,0,-63,0,-50,-8,-63,-1
156,4067,4055,4066,4066,-63,0,0,-50,-8,-63,-1
160,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
165,4066,4054,4064,4066,-63,0,0,-50,-8,-63,-1
170,4065,4055,4064,4065,-63,0,-63,-50,-8,-63,-1
176,4065,4054,4065,4066,-63,0,-63,-50,-8,-63,-1
180,4066,4055,4065,4065,0,0,-63,-50,-8,-63,-1
185,4066,4055,4065,4066,0,-63,0,-50,-8,-63,-1
190,4065,4055,4065,4066,0,-63,0,-50,-8,-63,-1
196,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
200,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
205,4066,4054,4066,4067,0,0,0,-50,-8,-63,-1
211,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
216,4065,4055,4065,4065,0,0,-63,-50,-8,-63,-1
221,4065,4055,4065,4066,0,0,-63,-50,-8,-63,-1
226,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
231,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
236,4065,4055,4066,4066,0,0,0,-50,-8,-63,-1
241,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
246,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
251,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
256,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
261,4066,4055,4065,4067,0,0,0,-50,-8,-63,-1
266,4065,4055,4065,4065,-63,0,0,-50,-8,-63,-1
271,4066,4054,4065,4065,-63,0,0,-50,-8,-63,-1
276,4065,4054,4065,4066,-63,0,0,-50,-8,-63,-1
280,4066,4055,4065,4065,0,0,0,-50,-8,-63,-1
285,4066,4055,4065,4067,0,0,0,-50,-8,-63,-1
290,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
296,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
300,4066,4054,4066,4067,0,0,0,-50,-8,-63,-1
305,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
310,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
316,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
320,4066,4055,4065,4065,0,0,0,-50,-8,-63,-1
325,4065,4054,4065,4065,0,0,0,-50,-8,-63,-1
331,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
335,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
340,4066,4055,4065,4067,0,0,0,-50,-8,-63,-1
345,4066,4054,4066,4066,0,0,0,-50,-8,-63,-1
350,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
356,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
360,4065,4055,4065,4067,0,0,0,-50,-8,-63,-1
366,4065,4054,4065,4066,0,0,-63,-50,-8,-63,-1
371,4065,4055,4065,4065,0,0,-63,-50,-8,-63,-1
376,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
381,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
386,4066,4055,4066,4066,-63,0,0,-50,-8,-63,-1
391,4066,4055,4066,4065,0,0,0,-50,-8,-63,-1
