Year,Month,Day,Hour (UTC),Minute,Second,CentiSecond,Millis,NumSat,HDOP,LAT,LNG,ALTFT,MPH
2021,5,23,12,47,57,60,122411,3,2.29,38.209407,-85.762123,0.0,0.218648
2021,5,23,12,47,57,60,122699,3,2.29,38.209407,-85.762123,0.0,0.218648
2021,5,23,12,47,57,60,123044,3,2.29,38.209407,-85.762123,0.0,0.218648
2021,5,23,12,47,57,60,123398,3,2.29,38.209407,-85.762123,0.0,0.218648
2021,5,23,12,47,57,60,123694,3,2.29,38.209407,-85.762123,0.0,0.218648
2021,5,23,12,47,57,60,124081,3,2.29,38.209407,-85.762123,0.0,0.218648
2021,5,23,12,47,57,60,124379,3,2.29,38.209407,-85.762123,0.0,0.218648
2021,5,23,12,47,57,60,124743,3,2.29,38.209407,-85.762123,0.0,0.218648
2021,5,23,12,47,59,60,125121,3,2.29,38.209419,-85.76209200000001,632.217834,0.218648
2021,5,23,12,47,59,60,125417,3,2.29,38.209419,-85.76209200000001,632.217834,0.218648
2021,5,23,12,48,0,20,125783,3,2.29,38.20943,-85.7621,632.217834,0.034523000000000005
2021,5,23,12,48,0,20,126072,3,2.29,38.20943,-85.7621,632.217834,0.034523000000000005
2021,5,23,12,48,0,60,126490,3,2.29,38.209438,-85.7621,628.937011,0.034523000000000005
2021,5,23,12,48,0,60,126842,3,2.29,38.209438,-85.7621,628.937011,0.034523000000000005
2021,5,23,12,48,0,60,127137,3,2.29,38.209438,-85.7621,628.937011,0.034523000000000005
2021,5,23,12,48,0,60,127523,3,2.29,38.209438,-85.7621,628.937011,0.034523000000000005
2021,5,23,12,48,2,20,127898,3,2.29,38.209445,-85.7621,636.154846,0.034523000000000005
2021,5,23,12,48,2,20,128194,3,2.29,38.209445,-85.7621,636.154846,0.034523000000000005
2021,5,23,12,48,2,80,128608,3,2.29,38.209445,-85.7621,638.123352,0.034523000000000005
2021,5,23,12,48,3,20,128979,3,2.29,38.209445,-85.7621,633.530212,0.034523000000000005
2021,5,23,12,48,3,60,129352,3,2.29,38.209445,-85.76209200000001,632.545959,0.034523000000000005
2021,5,23,12,48,3,60,129648,3,2.29,38.209445,-85.76209200000001,632.545959,0.034523000000000005
2021,5,23,12,48,3,60,129983,3,2.29,38.209445,-85.76209200000001,632.545959,0.034523000000000005
2021,5,23,12,48,4,60,130357,3,2.29,38.209445,-85.76209200000001,635.826782,0.034523000000000005
2021,5,23,12,48,4,60,130679,3,2.29,38.209445,-85.76209200000001,635.826782,0.034523000000000005
